Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,BEDFORD,146.685000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
1,HEARD MT,146.760000,-,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
2,CARTERS MT,146.730000,-,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
3,BUCKS ELBOW,146.895000,-,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
4,BON AIR,146.880000,-,0.600000,Tone,74.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
5,LYNCHBURG,147.195000,+,0.600000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
6,FARMVILLE,146.955000,-,0.600000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
7,PALMYRA,145.170000,-,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
8,WINTERGREEN,146.820000,-,0.600000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
9,POWAHATAN,146.315000,+,0.600000,Tone,74.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
10,AMHERST,146.315000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
13,N-SIMPLEX,146.520000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
14,BHAMNET,147.550000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
16,Fire/Rescue 1,158.835000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
17,Fire/Rescue 2,151.250000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
18,Sheriff 1,151.310000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
